id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
100041,Olga,Ortega,CC,1769367632,1985-10-08,2026-05-02,Premium,628.0,Santiago,Chile,Activo,Portal Web
100042,Alexander,Rodríguez,CC,1632870831,1990-04-27,2026-05-29,Estandar,624.0,Medellin,Colombia,Activo,Oficina
100043,Aida,Meneses,CC,8895798687,1992-05-23,2026-06-04,Basico,662.0,Santiago,Chile,Activo,Portal Web
100044,Yesid,Sarmiento,CC,7743487347,2006-03-30,2026-03-24,Basico,567.0,Barranquilla,Colombia,Activo,Corresponsal Bancario
100045,Ana,Gutiérrez,CC,4558122362,1997-01-26,2026-05-23,Premium,662.0,Santiago,Chile,Activo,Portal Web
100046,Camilo,Martínez,CC,6587603669,1994-05-16,2025-10-03,Estandar,695.0,Bogota,Colombia,Activo,Portal Web
100047,Gregorio,Rodríguez,CC,9670546688,1975-11-16,2025-12-22,Estandar,670.0,Santiago,Chile,Inactivo,App Movil
100048,Francisco,Burbano,CC,7346706562,1984-05-16,2025-10-05,Estandar,695.0,Medellin,Colombia,Activo,Corresponsal Bancario
100049,Héctor,Villegas,CC,9806990162,2008-07-30,2026-05-22,Basico,693.0,Santiago,Chile,Activo,Oficina
100050,Arturo,Díaz,CC,4653755646,1985-05-24,2026-06-04,Premium,472.0,Barranquilla,Colombia,Activo,Oficina
100051,Johana,García,CC,0805310033,1993-05-07,2026-05-01,Premium,713.0,Bogota,Colombia,Activo,Portal Web
100052,Pedro,Trujillo,CC,3271937452,1997-07-21,2025-10-20,Basico,582.0,Cali,Colombia,Activo,Corresponsal Bancario
100053,Alberto,Corredor,CC,1241904966,1981-02-07,2026-03-30,Basico,540.0,Cali,Colombia,Activo,App Movil
100054,Alex,Ramírez,CC,9314919058,1975-10-04,2026-08-01,Estandar,539.0,Bogota,Colombia,Activo,App Movil
100055,Elisa,Arias,CC,8506716572,1977-08-12,2026-03-26,Premium,693.0,Medellin,Colombia,Activo,App Movil
100056,Nohora,Ardila,CC,4987769453,1999-05-03,2025-12-08,Estandar,627.0,Ciudad de Mexico,Mexico,Activo,Oficina
100057,Álvaro,García,CC,7379965075,1992-06-29,2026-04-05,Estandar,481.0,Barranquilla,Colombia,Activo,Oficina
100058,Rosa,Rojas,CC,4549480831,1985-05-06,2025-10-09,Basico,697.0,Ciudad de Mexico,Mexico,Activo,App Movil
100059,Daniela,Parra,CC,8377701436,1977-08-18,2026-07-31,Basico,506.0,Buenos Aires,Argentina,Activo,App Movil
100060,Eduardo,Suárez,CC,9578856855,1994-07-23,2025-12-31,Estandar,663.0,Bogota,Colombia,Activo,Oficina
100061,Diego,Ortiz,CC,4313518233,1991-01-06,2025-12-19,Basico,673.0,Lima,Peru,Activo,App Movil
100062,Jairo,Castro,CC,9894134352,2002-06-14,2026-03-14,Estandar,738.0,Santiago,Chile,Inactivo,Oficina
100063,Angie,Toro,CC,2400842710,2003-04-24,2026-04-21,Basico,828.0,Lima,Peru,Activo,Oficina
100064,Carlos,Correa,CC,7520471167,1979-06-25,2025-12-07,Basico,513.0,Buenos Aires,Argentina,Activo,App Movil
100065,Patricia,Méndez,CC,0229413186,1971-11-22,2026-06-05,Basico,644.0,Guadalajara,Mexico,Activo,Corresponsal Bancario
100066,Alberto,Mercado,CC,3867749649,1989-08-11,2025-09-26,Basico,622.0,Santiago,Chile,Activo,Portal Web
100067,Antonio,León,CC,1334123281,1976-08-14,2026-05-19,Premium,693.0,Bogota,Colombia,Activo,Portal Web
100068,Lucía,Parra,CC,9740344713,1984-08-06,2026-07-02,Basico,671.0,Barranquilla,Colombia,Activo,Portal Web
100069,Martín,Mesa,CC,9361832421,1996-02-14,2025-11-01,Estandar,614.0,Lima,Peru,Activo,Portal Web
100070,Luz,Alzate,CC,9947174648,1983-11-19,2026-07-02,Basico,605.0,Medellin,Colombia,Activo,App Movil
100071,Andrés,Mendoza,CC,9065940139,1970-02-12,2026-08-03,Estandar,538.0,Buenos Aires,Argentina,Activo,Corresponsal Bancario
100072,Juan,Rodríguez,CC,4902787429,1989-04-29,2025-12-14,Premium,748.0,Barranquilla,Colombia,Activo,Corresponsal Bancario
100073,Nohora,Aguilar,CC,1756551256,1970-05-15,2026-01-14,Basico,695.0,Guadalajara,Mexico,Activo,Corresponsal Bancario
100074,Jhon,Gutiérrez,CC,6807154516,2008-01-14,2026-02-09,Basico,741.0,Medellin,Colombia,Activo,App Movil
100075,Wilson,Luna,CC,0876038597,1979-09-08,2026-04-23,Basico,618.0,Santiago,Chile,Activo,App Movil
100076,Antonio,Ochoa,CC,3482477109,1987-08-04,2026-06-03,Premium,,Medellin,,Activo,Corresponsal Bancario
100077,Orlando,Blanco,CC,4808613171,1992-07-03,2026-02-26,Estandar,542.0,Medellin,Colombia,Activo,Portal Web
100078,Jesús,Sánchez,CC,4846773782,1987-03-05,2026-01-24,Estandar,685.0,Medellin,Colombia,Activo,Corresponsal Bancario
100079,Jenny,Caballero,CC,8214658404,2007-10-27,2026-08-01,Basico,546.0,Barranquilla,Colombia,Activo,Corresponsal Bancario
100080,Daniel,Velasco,CC,9727875588,1990-10-05,2025-10-24,Estandar,,Guadalajara,,Activo,Portal Web
100081,Leonor,Saavedra,CC,3396360576,1984-04-28,2025-10-30,Estandar,519.0,Lima,Peru,Activo,Portal Web
100082,Constanza,Vergara,CC,2702895171,1971-04-28,2026-01-23,Estandar,677.0,Ciudad de Mexico,Mexico,Activo,Corresponsal Bancario
100083,Andrés,Cruz,CC,2621745961,1995-05-27,2026-08-18,Estandar,806.0,Lima,Peru,Activo,Corresponsal Bancario
100084,Hernando,Melo,CC,8657809134,1997-12-23,2026-05-09,Estandar,709.0,Lima,Peru,Activo,App Movil
100085,Leider,Cano,CC,6117240050,1995-07-23,2026-07-22,Basico,667.0,Medellin,Colombia,Activo,Corresponsal Bancario
100086,Margarita,Rivera,CC,2386922219,1978-08-21,2025-09-02,Premium,553.0,Cali,Colombia,Activo,Portal Web
100087,Alfredo,Beltrán,CC,3792374740,1984-10-19,2026-01-13,Estandar,511.0,Santiago,Chile,Activo,Oficina
100088,Ernesto,Restrepo,CC,4821759464,1994-11-30,2026-08-28,Basico,,Cali,,Activo,App Movil
100089,Tania,Suárez,CC,6713695944,1982-07-16,2025-10-09,Premium,800.0,Buenos Aires,Argentina,Activo,Portal Web
100090,María,Serrano,CC,6409097439,1986-12-05,2025-09-19,Estandar,606.0,Bogota,Colombia,Activo,Portal Web
100091,Francisco,Torres,CC,3942104709,1977-02-04,2025-11-05,Basico,536.0,Barranquilla,Colombia,Activo,Corresponsal Bancario
100092,Dora,Hernández,CC,4562328588,1997-08-18,2026-03-03,Estandar,,Santiago,,Activo,Portal Web
100093,Arley,Serrano,CC,4745171236,1991-10-03,2025-10-23,Basico,551.0,Santiago,Chile,Activo,Oficina
100094,Reinaldo,Cifuentes,CC,5160481754,1992-10-26,2025-11-19,Basico,638.0,Cali,Colombia,Activo,Portal Web
100095,Juan,Pinto,CC,5137098593,2006-06-14,2025-11-30,Estandar,809.0,Cali,Colombia,Activo,App Movil
100096,Jorge,Acevedo,CC,7461200471,1985-06-11,2026-02-18,Basico,,Cali,,Activo,Oficina
100097,Diana,Murcia,CC,2675869261,1984-10-03,2026-01-06,Estandar,680.0,Barranquilla,Colombia,Activo,App Movil
100098,Hernán,Garzón,CC,4053773515,1988-02-27,2025-09-20,Estandar,609.0,Lima,Peru,Activo,Portal Web
100099,Luis,Mantilla,CC,5064317139,1991-05-30,2026-04-24,Basico,591.0,Medellin,Colombia,Activo,Portal Web
100100,Moisés,Martínez,CC,5329318393,2005-05-14,2025-09-13,Basico,790.0,Bogota,Colombia,Activo,Oficina
100101,John,Moreno,CC,2904228421,1994-03-24,2026-01-21,Basico,,Cali,,Activo,Corresponsal Bancario
100102,Alexander,Rodríguez,CC,0539502402,1993-03-13,2026-07-26,Elite,439.0,Lima,Peru,Activo,Corresponsal Bancario
100103,Jairo,Silva,CC,1775891783,1998-08-24,2025-10-30,Premium,582.0,Bogota,Colombia,Activo,Corresponsal Bancario
100104,Giovanny,Gómez,CC,8470076617,1990-06-10,2026-06-25,Estandar,564.0,Medellin,Colombia,Activo,Corresponsal Bancario
100105,Alejandro,Marín,CC,1592124998,1984-08-22,2025-10-26,Premium,595.0,Lima,Peru,Activo,Corresponsal Bancario
100106,Alejandro,Flórez,CC,9847896118,1966-04-08,2026-04-12,Basico,,Medellin,,Activo,App Movil
100107,Óscar,Rojas,CC,7365766156,1986-02-25,2026-06-23,Basico,,Bogota,,Activo,App Movil
100108,Eugenia,Muñoz,CC,2711116152,1984-09-13,2026-04-12,Estandar,,Buenos Aires,,Inactivo,Portal Web
100109,Luis,Orozco,CC,8851656049,1989-03-07,2026-04-09,Estandar,781.0,Lima,Peru,Activo,Corresponsal Bancario
100110,Mercedes,López,CC,8327315851,2007-10-21,2026-02-08,Basico,580.0,Buenos Aires,Argentina,Activo,App Movil
100111,Cristian,Córdoba,CC,6899809402,1989-04-09,2026-05-18,Premium,836.0,Medellin,Colombia,Activo,Oficina
100112,Luisa,Castellanos,CC,5502296120,1988-03-26,2026-03-26,Basico,582.0,Cali,Colombia,Activo,Portal Web
100113,Andrea,Contreras,CC,6675254599,1959-06-11,2026-04-04,Estandar,658.0,Medellin,Colombia,Activo,Oficina
100114,Andrea,Martínez,CC,2901476797,1990-09-28,2025-11-29,Basico,621.0,Lima,Peru,Activo,Corresponsal Bancario
100115,Fabiola,Rojas,CC,8156149784,1985-02-15,2026-06-08,Estandar,662.0,Santiago,Chile,Activo,Corresponsal Bancario
100116,María,Medina,CC,9003432445,1989-04-16,2025-12-17,Estandar,694.0,Buenos Aires,Argentina,Activo,Corresponsal Bancario
100117,Paola,Zapata,CC,6226838851,2003-01-11,2026-04-15,Estandar,693.0,Santiago,Chile,Activo,Portal Web
100118,Catalina,Villamizar,CC,6071596966,1974-12-26,2026-05-01,Basico,574.0,Cali,Colombia,Activo,Portal Web
100119,Nancy,Parra,CC,5297516136,1978-10-10,2025-10-14,Basico,,Ciudad de Mexico,,Activo,Corresponsal Bancario
100120,Juan,Silva,CC,6453521818,1979-07-27,2025-12-30,Estandar,900.0,Cali,Colombia,Activo,Portal Web
100121,José,Espitia,CC,5523124329,1999-05-29,2025-11-15,Basico,601.0,Bogota,Colombia,Inactivo,Portal Web
100122,Lucía,Ochoa,CC,1277997995,1972-01-14,2026-07-10,Estandar,719.0,Ciudad de Mexico,Mexico,Activo,App Movil
100123,Wilson,Pineda,CC,2717744905,2005-01-15,2026-04-01,Estandar,489.0,Santiago,Chile,Activo,Portal Web
100124,José,Álvarez,CC,7005411998,1980-09-20,2026-03-16,Basico,622.0,Ciudad de Mexico,Mexico,Activo,Portal Web
100125,Kelly,Murillo,CC,0793597820,1962-07-03,2026-08-02,Basico,637.0,Medellin,Colombia,Activo,App Movil
100126,Gina,Arrieta,CC,5182037788,2000-02-02,2025-12-22,Estandar,697.0,Santiago,Chile,Activo,Oficina
100127,David,Morales,CC,4665905151,1995-08-14,2026-06-13,Estandar,377.0,Santiago,Chile,Activo,App Movil
100128,Luis,Giraldo,CC,4925192546,1987-01-20,2025-11-08,Estandar,666.0,Medellin,Colombia,Activo,Corresponsal Bancario
100129,Carmen,Blanco,CC,1486528168,1995-01-25,2026-07-11,Basico,535.0,Barranquilla,Colombia,Activo,Oficina
100130,Julieth,Morales,CC,2357332214,2006-11-29,2026-04-17,Elite,682.0,Guadalajara,Mexico,Activo,Oficina
100131,Santiago,López,CC,8805929622,1988-01-23,2026-01-11,Premium,546.0,Santiago,Chile,Activo,Corresponsal Bancario
100132,Gloria,Aguirre,CC,9270653794,2000-12-14,2026-05-07,Basico,564.0,Bogota,Colombia,Activo,Corresponsal Bancario
100133,Alfonso,Páez,CC,3834735977,1983-01-29,2025-10-10,Basico,622.0,Bogota,Colombia,Activo,Portal Web
100134,Ángel,Castaño,CC,8862392407,2000-04-20,2026-02-19,Estandar,544.0,Barranquilla,Colombia,Activo,App Movil
100135,Omar,Cortés,CC,1814124782,1970-07-06,2025-11-17,Premium,602.0,Ciudad de Mexico,Mexico,Activo,Portal Web
100136,Álvaro,López,CC,3750606853,1997-09-11,2025-12-19,Basico,530.0,Buenos Aires,Argentina,Activo,Oficina
100137,Constanza,García,CC,3051522047,1992-03-23,2026-06-05,Estandar,466.0,Santiago,Chile,Activo,App Movil
100138,Jhon,Hernández,CC,7790104328,1979-05-30,2026-04-04,Estandar,751.0,Ciudad de Mexico,Mexico,Activo,App Movil
100139,Walter,León,CC,6143410369,2002-11-16,2026-03-14,Premium,520.0,Bogota,Colombia,Activo,Corresponsal Bancario
100140,Ester,González,CC,7980893246,1986-04-11,2026-03-19,Premium,632.0,Lima,Peru,Activo,Oficina
100141,María,Romero,CC,9621851888,1972-12-12,2026-06-07,Estandar,725.0,Buenos Aires,Argentina,Activo,Portal Web
100142,Fabián,Palacios,CC,0670654051,2007-12-30,2025-12-22,Basico,588.0,Bogota,Colombia,Activo,Oficina
100143,Johanna,Ardila,CC,1952058527,1986-08-27,2026-03-19,Basico,567.0,Cali,Colombia,Activo,Oficina
100144,Arbey,Acosta,CC,2217043030,1985-06-18,2026-04-28,Basico,672.0,Santiago,Chile,Activo,App Movil
100145,Valentina,Álvarez,CC,6874034505,1979-02-23,2026-07-01,Estandar,761.0,Buenos Aires,Argentina,Activo,App Movil
100146,Luisa,Vera,CC,6676527758,2003-07-26,2026-07-27,Estandar,533.0,Medellin,Colombia,Activo,Oficina
100147,Mónica,García,CC,6169284511,2004-06-04,2025-09-26,Estandar,634.0,Ciudad de Mexico,Mexico,Activo,Corresponsal Bancario
100148,Teresa,Jiménez,CC,7962757059,1982-05-26,2026-04-21,Basico,476.0,Guadalajara,Mexico,Activo,Oficina
100149,Abraham,Castro,CC,0165820297,1985-04-21,2026-04-04,Estandar,610.0,Lima,Peru,Activo,App Movil
100150,María,Martínez,CC,5569092755,1985-01-13,2025-09-10,Premium,653.0,Santiago,Chile,Activo,App Movil
100151,Estefanía,García,CC,2856543102,1984-03-15,2025-12-24,Basico,564.0,Cali,Colombia,Activo,App Movil
100152,Deyanira,Giraldo,CC,8144739473,1997-08-23,2026-01-05,Elite,604.0,Lima,Peru,Activo,App Movil
100153,Paola,Márquez,CC,7271551884,1985-10-27,2025-11-18,Basico,509.0,Barranquilla,Colombia,Activo,Oficina
100154,Adolfo,Melo,CC,2583132370,1984-10-03,2025-10-29,Basico,657.0,Medellin,Colombia,Activo,Portal Web
100155,Consuelo,Córdoba,CC,7829114678,1997-01-12,2026-08-25,Basico,755.0,Cali,Colombia,Activo,Corresponsal Bancario
100156,Lucy,Peña,CC,9125177852,1966-06-22,2026-07-08,Basico,540.0,Lima,Peru,Activo,App Movil
100157,Henry,Patiño,CC,9226801824,1983-06-20,2026-02-07,Basico,587.0,Bogota,Colombia,Activo,App Movil
100158,Claudia,Ruiz,CC,3584143842,2003-03-31,2026-06-22,Estandar,700.0,Santiago,Chile,Activo,Oficina
100159,Antonio,Ávila,CC,1829922995,1981-02-20,2025-12-11,Estandar,771.0,Buenos Aires,Argentina,Activo,Portal Web
100160,Héctor,Londoño,CC,0109439690,2000-07-16,2026-08-23,Basico,500.0,Cali,Colombia,Activo,App Movil
100161,Katherin,Pineda,CC,4473647102,1978-11-27,2025-09-22,Estandar,633.0,Lima,Peru,Activo,Oficina
100162,Estella,Ramos,CC,3592555625,1974-10-10,2026-03-09,Estandar,678.0,Lima,Peru,Activo,Corresponsal Bancario
100163,José,López,CC,3714732104,1998-09-01,2026-04-04,Basico,639.0,Santiago,Chile,Activo,App Movil
100164,Giovanny,Alvarado,CC,6325953278,1977-02-03,2026-03-05,Estandar,402.0,Santiago,Chile,Activo,Oficina
100165,Yuli,Cuéllar,CC,7016873395,1983-09-14,2025-11-18,Estandar,700.0,Barranquilla,Colombia,Activo,Corresponsal Bancario
100166,Luz,Castro,CC,9748016245,1978-11-01,2026-06-03,Basico,801.0,Lima,Peru,Activo,Oficina
100167,Cristian,Morales,CC,6098358416,1966-02-04,2026-07-01,Basico,661.0,Barranquilla,Colombia,Activo,Portal Web
100168,José,Cabrera,CC,4991216558,1991-07-27,2026-01-21,Basico,546.0,Barranquilla,Colombia,Activo,Portal Web
100169,Samuel,Tovar,CC,3986800025,1998-01-13,2026-06-19,Basico,598.0,Medellin,Colombia,Activo,Oficina
100170,Ricardo,Delgado,CC,2982595269,1999-03-19,2025-09-15,Premium,826.0,Barranquilla,Colombia,Activo,Corresponsal Bancario
100171,Jairo,Jiménez,CC,5888794705,1998-06-06,2026-05-08,Basico,740.0,Medellin,Colombia,Activo,Corresponsal Bancario
100172,Vanessa,González,CC,6940974993,1989-03-19,2026-01-22,Estandar,714.0,Cali,Colombia,Activo,Corresponsal Bancario
100173,Óscar,Orozco,CC,2896230913,1983-12-01,2025-09-06,Basico,685.0,Bogota,Colombia,Activo,Portal Web
100174,María,Álvarez,CC,2636897028,1985-07-29,2026-01-02,Elite,583.0,Medellin,Colombia,Activo,Oficina
100175,Adriana,Valencia,CC,7865278585,1978-12-02,2026-01-02,Basico,629.0,Guadalajara,Mexico,Activo,Oficina
100176,Javier,Salas,CC,4973348434,1988-01-24,2025-09-09,Basico,642.0,Cali,Colombia,Activo,Portal Web
100177,Ángel,Rueda,CC,7575844198,1971-02-19,2026-08-21,Estandar,704.0,Medellin,Colombia,Activo,Corresponsal Bancario
100178,Lizeth,Puentes,CC,5240415747,1992-01-10,2026-06-11,Estandar,800.0,Ciudad de Mexico,Mexico,Activo,Oficina
100179,Fernanda,Niño,CC,4842199330,1955-12-11,2026-02-17,Estandar,761.0,Cali,Colombia,Activo,Oficina
100180,Enrique,Contreras,CC,3016571208,1981-04-26,2026-02-04,Basico,508.0,Cali,Colombia,Activo,App Movil
100181,Bryan,Sánchez,CC,7734540193,1999-06-01,2026-02-09,Basico,672.0,Lima,Peru,Activo,Portal Web
100182,Andrés,Vanegas,CC,0262067240,2001-05-31,2025-12-20,Premium,723.0,Lima,Peru,Activo,Corresponsal Bancario
100183,María,Jaramillo,CC,1547887287,1982-11-14,2026-05-27,Premium,711.0,Medellin,Colombia,Activo,App Movil
100184,Luisa,Montes,CC,5274205493,1991-06-02,2026-01-30,Basico,587.0,Bogota,Colombia,Activo,Portal Web
100185,Gloria,Zuluaga,CC,6685161227,1980-04-10,2025-09-08,Estandar,941.0,Lima,Peru,Activo,Portal Web
100186,Paula,Vargas,CC,4637454990,1983-04-24,2025-09-24,Estandar,522.0,Bogota,Colombia,Activo,Corresponsal Bancario
100187,Lina,Mosquera,CC,3017426841,1988-09-17,2025-11-04,Basico,541.0,Buenos Aires,Argentina,Activo,Oficina
100188,Fernando,Ibarra,CC,5933272795,1999-07-17,2025-09-07,Estandar,673.0,Buenos Aires,Argentina,Activo,Oficina
100189,Marta,Caicedo,CC,7833918785,2007-01-03,2026-04-14,Basico,861.0,Buenos Aires,Argentina,Activo,App Movil
100190,Ana,Ospina,CC,0883982258,1994-05-02,2026-05-03,Basico,566.0,Santiago,Chile,Activo,App Movil
100191,Vanesa,Duarte,CC,9718707286,1978-02-19,2026-05-10,Estandar,623.0,Buenos Aires,Argentina,Activo,App Movil
100192,Tania,Martínez,CC,7406403910,1986-06-25,2025-11-16,Basico,757.0,Barranquilla,Colombia,Activo,Corresponsal Bancario
100193,Estela,Bermúdez,CC,8017046226,2003-07-25,2026-01-06,Estandar,648.0,Santiago,Chile,Activo,Oficina
100194,Katherine,Galindo,CC,7661825128,1985-11-04,2026-07-03,Basico,616.0,Barranquilla,Colombia,Activo,Portal Web
100195,Ingrid,Hernández,CC,3004786863,1983-12-18,2026-03-14,Basico,706.0,Santiago,Chile,Activo,Oficina
100196,Esther,Herrera,CC,4310690331,1999-04-08,2026-06-29,Premium,677.0,Bogota,Colombia,Activo,Corresponsal Bancario
100197,Diana,Gómez,CC,9030673830,1986-11-23,2026-07-15,Basico,753.0,Barranquilla,Colombia,Activo,App Movil
100198,Isabel,Chacón,CC,3959953428,1988-05-26,2026-07-18,Premium,779.0,Medellin,Colombia,Activo,App Movil
100199,Inés,Suárez,CC,0892687056,2002-06-18,2026-01-01,Estandar,680.0,Medellin,Colombia,Activo,App Movil
100200,Julián,Ruiz,CC,6624628733,1984-06-22,2025-09-02,Basico,679.0,Buenos Aires,Argentina,Activo,Oficina
100201,Karen,Toro,CC,7086688263,1982-04-15,2025-09-17,Basico,671.0,Santiago,Chile,Activo,Corresponsal Bancario
100202,Johana,Valencia,CC,1751830469,1975-09-19,2026-04-21,Basico,698.0,Lima,Peru,Activo,Portal Web
100203,Alberto,Arboleda,CC,3983735403,1976-04-30,2026-07-18,Basico,655.0,Lima,Peru,Activo,Portal Web
100204,Ramón,Burgos,CC,1739363854,2005-01-31,2025-10-29,Premium,649.0,Bogota,Colombia,Activo,Portal Web
100205,Mery,Lozano,CC,5445877175,2000-04-23,2025-11-12,Premium,769.0,Bogota,Colombia,Activo,Portal Web
100206,Néstor,Arias,CC,6093204899,1982-04-07,2026-07-02,Basico,801.0,Medellin,Colombia,Activo,Corresponsal Bancario
100207,Óscar,Jiménez,CC,3536937854,1982-01-30,2025-11-03,Basico,499.0,Santiago,Chile,Activo,Corresponsal Bancario
100208,Cristian,Reyes,CC,7725228728,1981-09-18,2026-03-26,Estandar,651.0,Buenos Aires,Argentina,Activo,Oficina
100209,Heriberto,Yepes,CC,8010062312,1946-02-08,2025-10-12,Estandar,581.0,Barranquilla,Colombia,Activo,Oficina
100210,María,Mora,CC,5099770088,1982-03-30,2026-07-07,Basico,618.0,Barranquilla,Colombia,Activo,App Movil
100211,Elsa,Rodríguez,CC,4840862118,1975-05-19,2026-08-12,Basico,690.0,Santiago,Chile,Activo,App Movil
100212,Milena,Ramírez,CC,8454615679,1976-10-03,2026-01-16,Premium,716.0,Medellin,Colombia,Activo,Portal Web
100213,Olga,Benavides,CC,4101666870,1981-01-14,2026-05-24,Estandar,638.0,Santiago,Chile,Activo,Corresponsal Bancario
100214,Fernando,Narváez,CC,1765918033,1992-06-08,2026-06-27,Estandar,458.0,Guadalajara,Mexico,Activo,Oficina
100215,Rodrigo,Aguirre,CC,9740148902,1979-07-28,2026-04-29,Basico,553.0,Ciudad de Mexico,Mexico,Activo,Corresponsal Bancario
